Nro. Orden ;Día;Mes;Año;Marca y Tipo;Matricula;Sistema de Envuelo ;Tema o Prueba Cumplida;Lugar de Despegue;Hora de Salida;Hr.;Min.;Hr. ;Min.;HR.;Min.
1;16;3;2019;TWIN-ASTIR;LV-DND;Avión ;EN;ATE;16:00;0;1;0;2;0;3
2;23;3;2019;KA6-CR;LV-DFB;Avión ;EN;ATE;13:58;0;1;2;3;2;7
3;6;4;2019;KA6-CR;LV-DFB;Avión ;EN;ATE;13:45;0;1;0;9;3;7
4;14;4;2019;KA6-CR;LV-DFB;Avión ;EN;ATE;15:08;0;1;2;0;5;8
5;4;5;2019;KA6-CR;LV-DFB;Avión ;EN;ATE;13:04;0;1;0;1;6;0
6;11;5;2019;KA6-CR;LV-DFB;Avión ;EN;ATE;14:29;0;1;0;4;6;5
7;18;5;2019;KA6-CR;LV-DFB;Avión ;EN;ATE;15:30;0;1;0;2;6;8
8;26;5;2019;KA6-CR;LV-DFB;Avión ;EN;ATE;13:00;0;1;0;3;7;2
9;1;6;2019;KA6-CR;LV-DFB;Avión ;EN;ATE;14:05;0;1;0;7;8;0
10;22;6;2019;KA6-CR;LV-DFB;Avión ;EN;ATE;12:47;0;1;0;1;8;2
11;13;7;2019;KA6-CR;LV-DFB;Avión ;EN;ATE;16:08;0;1;0;3;8;6
12;27;7;2019;KA6-CR;LV-DFB;Avión ;EN;ATE;15:15;0;1;0;1;8;8
13;28;7;2019;KA6-CR;LV-DFB;Avión ;EN;ATE;16:26;0;1;1;3;10;2
14;3;8;2019;KA6-CR;LV-DFB;Avión ;EN;ATE;15:19;0;1;0;9;11;2
15;10;8;2019;KA6-CR;LV-DFB;Avión ;EN;ATE;15:00;0;1;0;9;12;2
16;18;8;2019;KA6-CR;LV-DFB;Avión ;EN;ATE;14:10;0;1;0;2;12;5
17;24;8;2019;KA6-E;LV-DGG;Avión ;AD;ATE;16:54;0;1;0;2;12;8
18;24;8;2019;KA6-E;LV-DGG;Avión ;EN;ATE;17:28;0;1;0;2;13;1
19;31;8;2019;KA6-E;LV-DGG;Avión ;EN;ATE;14:00;0;1;1;4;14;6
20;14;9;2019;KA6-E;LV-DGG;Avión ;EN;ATE;12:45;0;1;5;2;19;9
21;5;10;2019;KA6-E;LV-DGG;Avión ;EN;ATE;13:10;0;1;1;1;21;5
22;19;10;2019;KA6-E;LV-DGG;Avión ;EN;ATE;14:12;0;1;2;3;23;5
23;25;10;2019;KA6-E;LV-DGG;Avión ;EN;ATE;13:30;0;1;3;7;27;3
24;2;11;2019;KA6-E;LV-DGG;Avión ;EN;ATE;14:43;0;1;2;0;29;4
25;23;11;2019;KA6-E;LV-DGG;Avión ;EN;ATE;14:38;0;1;0;4;29;9
26;30;11;2019;KA6-E;LV-DGG;Avión ;EN;ATE;14:47;0;1;0;2;30;2
27;1;12;2019;KA6-E;LV-DGG;Avión ;EN;ATE;13:55;0;1;0;2;30;5
28;1;12;2019;KA6-E;LV-DGG;Avión ;EN;ATE;14:22;0;1;3;3;33;9
29;7;12;2019;KA6-E;LV-DGG;Avión ;EN;ATE;14:43;0;1;0;7;34;7
30;14;12;2019;KA6-E;LV-DGG;Avión ;EN;ATE;13:00;0;1;0;6;35;4
31;24;1;2020;TWIN-ASTIR;LV-DND;Avión ;EN;ATE;12:03;0;1;1;2;36;7
32;2;2;2020;KA6-E;LV-DGG;Avión ;EN;ATE;14:02;0;1;2;4;39;2
33;15;2;2020;KA6-E;LV-DGG;Avión ;EN;ATE;14:10;0;1;3;2;42;5
34;16;8;2020;TWIN-ASTIR;LV-DND;Avión ;EN;ATE;12:48;0;1;0;1;42;7
35;16;8;2020;TWIN-ASTIR;LV-DND;Avión ;EN;ATE;13:13;0;1;0;1;42;9
36;16;8;2020;TWIN-ASTIR;LV-DND;Avión ;EN;ATE;13:34;0;1;0;1;43;1
37;30;8;2020;KA6-CR;LV-DFB;Avión ;EN;ATE;14:40;0;1;1;7;44;9
38;5;9;2020;KA6-E;LV-DGG;Avión ;EN;ATE;14:35;0;1;2;5;47;5
39;12;9;2020;KA6-E;LV-DGG;Avión ;EN;ATE;16:22;0;1;1;7;49;3
40;19;9;2020;KA6-E;LV-DGG;Avión ;EN;ATE;13:53;0;1;2;9;52;3
41;10;10;2020;KA6-E;LV-DGG;Avión ;EN;ATE;12:17;0;1;0;7;53;1
42;31;10;2020;KA6-E;LV-DGG;Avión ;EN;ATE;12:43;0;1;3;1;56;3
43;7;11;2020;KA6-E;LV-DGG;Avión ;EN;ATE;12:35;0;1;3;7;60;1
44;15;11;2020;KA6-E;LV-DGG;Avión ;EN;ATE;14:28;0;1;0;3;60;5
45;22;11;2020;KA6-E;LV-DGG;Avión ;EN;ATE;13:29;0;1;3;4;64;0
46;6;12;2020;KA6-CR;LV-DFB;Avión ;EN;ATE;13:24;0;1;0;1;64;2
47;6;12;2020;KA6-CR;LV-DFB;Avión ;EN;ATE;13:48;0;1;2;2;66;5
48;7;12;2020;KA6-CR;LV-DFB;Avión ;EN;ATE;13:35;0;1;4;0;70;6
49;20;2;2021;TWIN-ASTIR;LV-DND;Avión ;EN;ATE;11:10;0;1;0;2;70;9
50;27;2;2021;TWIN-ASTIR;LV-DND;Avión ;EN;ATE;16:02;0;1;0;9;71;9
51;6;3;2021;TWIN-ASTIR;LV-DND;Avión ;EN;ATE;14:37;0;1;0;8;72;8
52;6;3;2021;TWIN-ASTIR;LV-DND;Avión ;EN;ATE;17:05;0;1;0;5;73;4
53;21;3;2021;TWIN-ASTIR;LV-DND;Avión ;EN;ATE;15:19;0;1;0;6;74;1
54;21;3;2021;TWIN-ASTIR;LV-DND;Avión ;EN;ATE;18:00;0;1;0;1;74;3
55;28;3;2021;TWIN-ASTIR;LV-DND;Avión ;EN;ATE;13:16;0;1;0;4;74;8
56;3;4;2021;KA6-E;LV-DGG;Avión ;EN;ATE;13:40;0;1;2;9;77;8
57;17;4;2021;KA6-E;LV-DGG;Avión ;EN;ATE;13:34;0;1;2;2;80;1
58;17;4;2021;TWIN-ASTIR;LV-DND;Avión ;EN;ATE;16:50;0;1;0;4;80;6
59;25;4;2021;TWIN-ASTIR;LV-DND;Avión ;EN;ATE;14:15;0;1;1;0;81;7
60;25;4;2021;PW5;LV-EOK;Avión ;AD;ATE;15:30;0;1;0;9;82;7
61;1;5;2021;TWIN-ASTIR;LV-DND;Avión ;EN;ATE;12:16;0;1;0;1;82;9
62;1;5;2021;TWIN-ASTIR;LV-DND;Avión ;EN;ATE;15:40;0;1;0;1;83;1
63;15;5;2021;TWIN-ASTIR;LV-DND;Avión ;EN;ATE;15:07;0;1;0;3;83;5
64;15;5;2021;TWIN-ASTIR;LV-DND;Avión ;EN;ATE;16:57;0;1;0;1;83;7
65;12;5;2021;PW5;LV-EOK;Avión ;EN;ATE;14:00;0;1;0;9;84;7
66;19;5;2021;PW5;LV-EOK;Avión ;EN;ATE;15:40;0;1;0;7;85;5
67;26;5;2021;TWIN-ASTIR;LV-DND;Avión ;EN;ATE;12:24;0;1;0;1;85;7
68;26;5;2021;TWIN-ASTIR;LV-DND;Avión ;EN;ATE;14:14;0;1;0;2;86;0
69;24;7;2021;TWIN-ASTIR;LV-DND;Avión ;EN;ATE;13:53;0;1;0;1;86;2
70;7;8;2021;TWIN-ASTIR;LV-DND;Avión ;EN;ATE;16:35;0;1;0;9;87;2
71;;;2021;;;Avión ;EN;ATE;;0;1;;;;
72;;;2021;;;Avión ;EN;ATE;;0;1;;;;
73;;;2021;;;Avión ;EN;ATE;;0;1;;;;
74;;;2021;;;Avión ;EN;ATE;;0;1;;;;
75;;;2021;;;Avión ;EN;ATE;;0;1;;;;
76;;;2021;;;Avión ;EN;ATE;;0;1;;;;
77;;;2021;;;Avión ;EN;ATE;;0;1;;;;
78;;;2021;;;Avión ;EN;ATE;;0;1;;;;
79;;;2021;;;Avión ;EN;ATE;;0;1;;;;
80;;;2021;;;Avión ;EN;ATE;;0;1;;;;
81;;;2021;;;Avión ;EN;ATE;;0;1;;;;
82;;;2021;;;Avión ;EN;ATE;;0;1;;;;
83;;;2021;;;Avión ;EN;ATE;;0;1;;;;
